"x1","x2","class"
-3.6871,-0.0654,"A"
0.3905,1.9261,"A"
-2.991,-0.0953,"A"
-2.8984,-1.7701,"A"
-1.3931,1.2393,"A"
0.3387,1.2799,"A"
0.7446,1.3258,"A"
-0.8298,2.5093,"A"
-1.817,1.9907,"A"
0.7119,-4.6899,"A"
-3.1444,0.3875,"A"
-0.6482,0.7365,"A"
0.1955,1.1247,"A"
-0.6195,2.0656,"A"
-0.853,2.4142,"A"
-1.9963,2.1677,"A"
-2.7552,0.8106,"A"
0.0384,2.3163,"A"
-3.9676,-0.0375,"A"
0.7778,0.968,"A"
-2.4451,1.3684,"A"
-3.0688,-0.3255,"A"
-3.0856,0.5705,"A"
-2.3218,-2.2394,"A"
-3.5584,1.0128,"A"
-3.3488,-0.2102,"A"
-2.8213,-4.3343,"A"
-1.5406,1.925,"A"
0.6346,1.4101,"A"
-3.9572,-0.5233,"A"
-2.9487,-0.3853,"A"
-2.5087,1.0301,"A"
-1.953,0.9947,"A"
-2.8706,0.4984,"A"
-2.145,-2.3434,"A"
0.1211,-4.8732,"A"
-1.3562,-5.3987,"A"
-3.3908,0.2205,"A"
0.1378,-3.5774,"A"
-2.9983,0.3434,"A"
2.7166,-3.6411,"A"
-1.2494,-3.2683,"A"
-3.2126,-0.0453,"A"
-4.248,0.5056,"A"
-2.767,0.5976,"A"
-1.7371,-0.0286,"A"
-1.9642,1.1436,"A"
1.5534,-5.6656,"A"
0.2097,-5.2423,"A"
-3.8977,-1.7158,"A"
-1.5957,-4.2907,"A"
-2.9652,-2.5949,"A"
7.2742,1.0525,"A"
-2.7518,-1.4643,"A"
-2.3016,-2.9693,"A"
-1.195,-5.0489,"A"
1.0091,-4.8794,"A"
-2.7799,-3.0886,"A"
-0.9984,2.4142,"A"
-2.9168,1.0869,"A"
0.4956,-5.6337,"A"
-1.8057,-3.79,"A"
-2.5319,-1.6492,"A"
-0.985,-4.2869,"A"
-1.8301,-1.4015,"A"
-0.3179,-5.105,"A"
-3.5012,0.1042,"A"
0.7948,-4.8146,"A"
1.0477,-5.0515,"A"
0.6987,-4.0892,"A"
1.3648,-4.904,"A"
1.6924,-4.8305,"A"
-2.5583,-3.4019,"A"
0.2704,-4.3245,"A"
4.7568,-3.9057,"A"
6.0909,-0.5321,"A"
3.0132,-4.9364,"A"
1.0775,-5.2514,"A"
-2.8579,-4.8503,"A"
-2.6362,-2.1153,"A"
-1.8975,-4.0353,"A"
6.6587,1.0057,"A"
6.1481,-0.7648,"A"
2.1149,-4.4111,"A"
1.9524,-4.7633,"A"
1.2189,-3.8985,"A"
5.7039,0.2349,"A"
2.4894,-4.4445,"A"
5.8537,3.6288,"A"
6.506,-0.9721,"A"
6.448,3.8585,"A"
-0.6452,-4.7876,"A"
4.6045,-3.41,"A"
0.6469,-4.7655,"A"
6.6141,0.3867,"A"
5.1846,-2.5202,"A"
4.354,-3.3063,"A"
3.823,6.0854,"A"
6.0876,-1.1357,"A"
5.3759,4.5789,"A"
6.6893,4.0911,"A"
3.0917,-5.3653,"A"
4.7092,-3.8929,"A"
5.9902,-0.5188,"A"
0.9466,-4.764,"A"
