,state,cases,latitude,longitude,name
0,AZ,36,34.048928,-111.093731,Arizona
1,CA,58,36.778261,-119.417932,California
2,CO,66,39.550051,-105.782067,Colorado
3,FL,67,27.664827,-81.515754,Florida
4,IA,1,41.878003,-93.097702,Iowa
5,KS,2,39.011902,-98.484246,Kansas
6,MA,2,42.407211,-71.382437,Massachusetts
7,ME,1,45.253783,-69.445469,Maine
8,NE,1,41.492537,-99.901813,Nebraska
9,NJ,21,40.058324,-74.405661,New Jersey
10,NM,7,34.97273,-105.032363,New Mexico
11,NY,1,43.299428,-74.217933,New York
12,OK,3,35.007752,-97.092877,Oklahoma
13,OR,36,43.804133,-120.554201,Oregon
14,RI,1,41.580095,-71.477429,Rhode Island
15,SD,76,43.969515,-99.901813,South Dakota
16,WA,39,47.751074,-120.740139,Washington
17,NY,64,43.299428,-74.217933,New York
18,CA,58,36.778261,-119.417932,California
19,WA,67,47.751074,-120.740139,Washington
20,IA,101,41.878003,-93.097702,Iowa
21,LA,71,31.244823,-92.145024,Louisiana
22,FL,70,27.664827,-81.515754,Florida
23,NC,106,35.759573,-79.0193,North Carolina
24,NJ,23,40.058324,-74.405661,New Jersey
25,TX,257,31.968599,-99.901813,Texas
26,IL,102,40.633125,-89.398528,Illinois
27,MD,24,39.045755,-76.641271,Maryland
28,MO,115,37.964253,-91.831833,Missouri
29,GU,1,13.444304,144.793732, Guam
30,MA,17,42.407211,-71.382437,Massachusetts
31,MI,94,44.314844,-85.602364,Michigan
32,PR,78,18.220833,-66.590149,Puerto Rico
33,PR,78,-66.10572,18.46633, Puerto Rico
34,SC,47,33.836081,-81.163725,South Carolina
35,CO,66,39.550051,-105.782067,Colorado
36,CT,12,41.603221,-73.087749,Connecticut
37,KY,120,37.839333,-84.270018,Kentucky
38,OR,47,43.804133,-120.554201,Oregon
39,AL,69,32.318231,-86.902298,Alabama
40,DC,1,38.905985,-77.033418,District of Columbia
41,DC,1,38.942142,-77.025955, District of Columbia
42,GA,160,32.157435,-82.907123,Georgia
43,KS,121,39.011902,-98.484246,Kansas
44,PA,67,41.203322,-77.194525,Pennsylvania
45,RI,7,41.580095,-71.477429,Rhode Island
46,MT,64,46.879682,-110.362566,Montana
47,OH,88,40.417287,-82.907123,Ohio
48,HI,5,19.898682,-155.665857,Hawaii
49,MP,5,15.183333,145.75, Northern Mariana Islands
50,ND,58,47.551493,-101.002012,North Dakota
51,TN,95,35.517491,-86.580447,Tennessee
52,VA,138,37.431573,-78.656894,Virginia
53,VI,3,34.297878,-83.824066, US Virgin Islands
54,AR,76,35.20105,-91.831833,Arkansas
55,IN,93,40.551217,-85.602364,Indiana
56,NH,10,43.193852,-71.572395,New Hampshire
57,WV,55,38.597626,-80.454903,West Virginia
58,AZ,36,34.048928,-111.093731,Arizona
59,ME,443,45.253783,-69.445469,Maine
60,NE,101,41.492537,-99.901813,Nebraska
61,NV,44,38.80261,-116.419389,Nevada
62,UT,36,39.32098,-111.093731,Utah
63,WI,84,43.78444,-88.787868,Wisconsin
64,DE,3,38.910832,-75.52767,Delaware
65,MS,83,32.354668,-89.398528,Mississippi
66,NM,69,34.97273,-105.032363,New Mexico
67,OK,112,35.007752,-97.092877,Oklahoma
68,SD,207,43.969515,-99.901813,South Dakota
69,MN,107,46.729553,-94.6859,Minnesota
70,VT,14,44.558803,-72.577841,Vermont
71,AK,84,63.588753,-154.493062,Alaska
72,ID,49,44.068202,-114.742041,Idaho
73,WY,24,43.075968,-107.290284,Wyoming
74,AS,5,-14.270972,-170.132217, American Samoa
75,FL,7,27.664827,-81.515754,Florida
76,AZ,1,34.048928,-111.093731,Arizona
77,AL,1,32.318231,-86.902298,Alabama
