"state","name","description","latitude","longitude","DeclarationDate","cases"
"AK","Alaska","Juneau",58.301598,-134.420212,"2020-04-09",84
"AL","Alabama","Montgomery",32.377716,-86.300568,"2020-03-29",69
"AL","Alabama","Montgomery",32.377716,-86.300568,"2021-03-28",1
"AR","Arkansas","Little Rock",34.746613,-92.288986,"2020-04-03",76
"AZ","Arizona","Phoenix",33.448143,-112.096962,"2020-03-13",36
"AZ","Arizona","Phoenix",33.448143,-112.096962,"2021-02-02",1
"AZ","Arizona","Phoenix",33.448143,-112.096962,"2020-04-04",36
"CA","California","Sacramento",38.576668,-121.493629,"2020-03-22",58
"CA","California","Sacramento",38.576668,-121.493629,"2020-03-13",58
"CO","Colorado","Denver",39.739227,-104.984856,"2020-03-28",66
"CO","Colorado","Denver",39.739227,-104.984856,"2020-03-13",66
"CT","Connecticut","Hartford<br>",41.764046,-72.682198,"2020-03-28",12
"DE","Delaware","Dover",39.157307,-75.519722,"2020-04-05",3
"FL","Florida","Tallahassee",30.438118,-84.281296,"2020-05-08",7
"FL","Florida","Tallahassee",30.438118,-84.281296,"2020-03-13",67
"FL","Florida","Tallahassee",30.438118,-84.281296,"2020-03-25",70
"GA","Georgia","Atlanta<br>",33.749027,-84.388229,"2020-03-29",160
"HI","Hawaii","Honolulu",21.307442,-157.857376,"2020-04-01",5
"IA","Iowa","Des Moines",41.591087,-93.603729,"2020-03-23",101
"IA","Iowa","Des Moines",41.591087,-93.603729,"2020-03-13",1
"ID","Idaho","Boise",43.617775,-116.199722,"2020-04-09",49
"IL","Illinois","Springfield",39.798363,-89.654961,"2020-03-26",102
"IN","Indiana","Indianapolis",39.768623,-86.162643,"2020-04-03",93
"KS","Kansas","Topeka",39.048191,-95.677956,"2020-03-13",2
"KS","Kansas","Topeka",39.048191,-95.677956,"2020-03-29",121
"KY","Kentucky","Frankfort",38.186722,-84.875374,"2020-03-28",120
"LA","Louisiana","Baton Rouge",30.457069,-91.187393,"2020-03-24",71
"MA","Massachusetts","Boston",42.358162,-71.063698,"2020-03-13",2
"MA","Massachusetts","Boston",42.358162,-71.063698,"2020-03-27",17
"MD","Maryland","Annapolis",38.978764,-76.490936,"2020-03-26",24
"ME","Maine","Augusta",44.307167,-69.781693,"2020-03-13",1
"ME","Maine","Augusta",44.307167,-69.781693,"2020-04-04",443
"MI","Michigan","Lansing",42.733635,-84.555328,"2020-03-27",94
"MN","Minnesota","St. Paul",44.955097,-93.102211,"2020-04-07",107
"MO","Missouri","Jefferson City",38.579201,-92.172935,"2020-03-26",115
"MS","Mississippi","Jackson",32.303848,-90.182106,"2020-04-05",83
"MT","Montana","Helena",46.585709,-112.018417,"2020-03-31",64
"NE","Nebraska","Lincoln",40.808075,-96.699654,"2020-04-04",101
"NE","Nebraska","Lincoln",40.808075,-96.699654,"2020-03-13",1
"NV","Nevada","Carson City",39.163914,-119.766121,"2020-04-04",44
"OH","Ohio","Columbus",39.961346,-82.999069,"2020-03-31",88
"OK","Oklahoma","Oklahoma City",35.492207,-97.503342,"2020-03-13",3
"OK","Oklahoma","Oklahoma City",35.492207,-97.503342,"2020-04-05",112
"OR","Oregon","Salem",44.938461,-123.030403,"2020-03-28",47
"OR","Oregon","Salem",44.938461,-123.030403,"2020-03-13",36
"PA","Pennsylvania","Harrisburg",40.264378,-76.883598,"2020-03-30",67
"TN","Tennessee","Nashville",36.16581,-86.784241,"2020-04-02",95
"TX","Texas","Austin",30.27467,-97.740349,"2020-03-25",257
"UT","Utah","Salt Lake City",40.777477,-111.888237,"2020-04-04",36
"VA","Virginia","Richmond",37.538857,-77.43364,"2020-04-02",138
"VT","Vermont","Montpelier",44.262436,-72.580536,"2020-04-08",14
"WA","Washington","Olympia",47.035805,-122.905014,"2020-03-22",67
"WA","Washington","Olympia",47.035805,-122.905014,"2020-03-13",39
"WI","Wisconsin","Madison",43.074684,-89.384445,"2020-04-04",84
"WY","Wyoming","Cheyenne",41.140259,-104.820236,"2020-04-11",24
